Method,GUID,Leaky,Random,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
/dev/random,Y,N,Y,Y,Y,4096,hex,30440.96214054045,2.1560802099765706e-7,0.000032850472839300536,7.356377624501728e-8,0.223935212758976,33,3.753253890051902e-8,4.648681871852612e-14
/dev/random,Y,N,Y,N,N,4096,buffer,29121.96835594638,0.0000018289907734450473,0.00003433833825301205,0.00000152931752823071,4.453673666332887,8,6.466458893153107e-7,3.3452072493471122e-12
/dev/random,Y,N,Y,Y,N,4096,buffer,28713.32966977041,0.0000016432716147020363,0.000034827030215614696,0.0000017247883294251082,4.95244159133557,6,6.708628274698981e-7,2.700341599685438e-12
/dev/random,Y,N,Y,Y,Y,4096,buffer,34333.03281331082,0.000009634469668626796,0.000029126468536513988,0.0000032872059567300103,11.285974997652223,33,0.0000016771458962908216,9.282300579568974e-11
/dev/random,Y,N,Y,N,N,65536,hex,384032.2922025809,7.0746291668801e-7,0.0000026039476895669232,2.858144795273456e-7,10.976198971757416,26,1.3874489297443961e-7,5.005037784887061e-13
/dev/random,Y,N,Y,Y,N,65536,hex,217.80147166100815,0.023397857145275282,0.0045913372043528975,0.009452716466524269,205.88155576032307,26,0.0045886973138467325,0.0005474597189907097
/dev/random,Y,N,Y,Y,Y,65536,hex,392491.9928349271,3.049814447948163e-7,0.0000025478226772910917,1.7606099454359351e-7,6.910253060891424,14,8.150971969610811e-8,9.301368166913357e-14
/dev/random,Y,N,Y,N,N,65536,buffer,412224.2170114438,3.3692100349196003e-7,0.000002425864271754415,1.5768207125284914e-7,6.500036835894843,20,7.533782668554666e-8,1.1351576259402934e-13
/dev/random,Y,N,Y,Y,N,65536,buffer,174.67420167358478,0.026223876058885813,0.005724943869322551,0.011937174440795123,208.51164156842086,21,0.005722518907380213,0.0006876916755518045
/dev/random,Y,N,Y,Y,Y,65536,buffer,425139.62317008566,3.556667504406517e-7,0.0000023521684300875664,1.8948146129725717e-7,8.05560770536331,16,8.891668761016293e-8,1.2649883736901282e-13
/dev/urandom,Y,Y,Y,Y,N,,hex,90491.30422721287,5.85473825876016e-7,0.000011050785581442382,1.2672334541400016e-7,1.146736080254847,82,6.465476806836743e-8,3.4277960078589953e-13
/dev/urandom,Y,Y,Y,Y,Y,,hex,767669.0427269868,1.6969801899144454e-8,0.0000013026446871528194,3.5456144428841878e-9,0.2721858445247883,88,1.8089869606551978e-9,2.879741764962067e-16
/dev/urandom,Y,Y,Y,Y,N,,buffer,95577.93239960907,4.750285428259818e-7,0.000010462666170879527,1.0345066043765826e-7,0.9887600230005412,81,5.2780949202886865e-8,2.256521164993756e-13
/dev/urandom,Y,Y,Y,Y,Y,,buffer,859321.5080814615,1.837316219543808e-8,0.000001163708798855297,3.714292090469403e-9,0.31917710806372124,94,1.895046984933369e-9,3.37573089059875e-16
/dev/urandom,Y,Y,Y,N,N,256,hex,724481.0656814958,1.2473424799406215e-7,0.0000013802983229925166,2.768180997749474e-8,2.0054947192488055,78,1.4123372437497316e-8,1.5558632622644198e-14
/dev/urandom,Y,Y,Y,Y,N,256,hex,731659.3721785173,1.0919449160791266e-7,0.0000013667562229436055,2.4079266665742835e-8,1.7617821131176503,79,1.228534013558308e-8,1.1923436997510507e-14
/dev/urandom,Y,Y,Y,Y,Y,256,hex,2189163.549055582,7.32937972634446e-9,4.5679547351837003e-7,1.5227488864505977e-9,0.33335463565826257,89,7.769126971686723e-10,5.371980717294919e-17
/dev/urandom,Y,Y,Y,N,N,256,buffer,840939.3025738595,1.0132396809711911e-7,0.0000011891464662661195,2.2631998114510288e-8,1.903213671026918,77,1.1546937813525658e-8,1.026654651094601e-14
